url,name,type,dcat_compliant,gcp_formatted_address,gcp_geometry,gcp_locality,gcp_administrative_area_level_2,gcp_administrative_area_level_1,gcp_country,gcp_administrative_area_level_3,site,site_keys,data_assets,metavariable_count
https://www.cabq.gov/abq-data/,"Aalbuquerque, NM",City,False,"Albuquerque, NM, USA","{'bounds': {'northeast': {'lat': 35.2180539, 'lng': -106.4711629}, 'southwest': {'lat': 34.9467659, 'lng': -106.881796}}, 'location': {'lat': 35.0843859, 'lng': -106.650422}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 35.2180539, 'lng': -106.4711629}, 'southwest': {'lat': 34.9467659, 'lng': -106.881796}}}",Albuquerque,Bernalillo County,New Mexico,United States,,,,,
https://information.stpaul.gov/data.json,"St. Paul, MN",City,True,"St Paul, MN, USA","{'bounds': {'northeast': {'lat': 44.992016, 'lng': -93.00431979999999}, 'southwest': {'lat': 44.88739899999999, 'lng': -93.207787}}, 'location': {'lat': 44.9537029, 'lng': -93.0899578}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 44.992016, 'lng': -93.00431979999999}, 'southwest': {'lat': 44.88739899999999, 'lng': -93.207787}}}",Saint Paul,Ramsey County,Minnesota,United States,,https://information.stpaul.gov/data.json,"['@type', 'identifier', 'landingPage', 'title', 'description', 'keyword', 'issued', 'modified', 'publisher', 'contactPoint', 'accessLevel', 'spatial', 'license', 'distribution', 'theme']",137.0,15.0
https://data.ci.newark.nj.us/data.json,"Newark, NJ",City,True,"Newark, NJ, USA","{'bounds': {'northeast': {'lat': 40.788664, 'lng': -74.1127869}, 'southwest': {'lat': 40.6739029, 'lng': -74.2513239}}, 'location': {'lat': 40.735657, 'lng': -74.1723667}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 40.788664, 'lng': -74.1127869}, 'southwest': {'lat': 40.6739029, 'lng': -74.2513239}}}",Newark,Essex County,New Jersey,United States,,https://data.ci.newark.nj.us/data.json,"['@type', 'title', 'description', 'issued', 'modified', 'accessLevel', 'identifier', 'spatial', 'publisher', 'contactPoint', 'distribution', 'keyword']",108.0,12.0
https://data.cincinnati-oh.gov/data.json,"Cincinnati, OH",City,True,"Cincinnati, OH, USA","{'bounds': {'northeast': {'lat': 39.2207591, 'lng': -84.36875479999999}, 'southwest': {'lat': 39.051921, 'lng': -84.71204809999999}}, 'location': {'lat': 39.1031182, 'lng': -84.5120196}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 39.2207591, 'lng': -84.36875479999999}, 'southwest': {'lat': 39.051921, 'lng': -84.71204809999999}}}",Cincinnati,Hamilton County,Ohio,United States,,https://data.cincinnati-oh.gov/data.json,"['accessLevel', 'landingPage', 'issued', '@type', 'modified', 'keyword', 'contactPoint', 'publisher', 'identifier', 'description', 'title', 'distribution', 'theme']",153.0,13.0
https://city-of-irvine-open-data-portal-cityofirvine.hub.arcgis.com/data.json,"Irvine, CA",City,True,"Irvine, CA, USA","{'bounds': {'northeast': {'lat': 33.7736521, 'lng': -117.6780258}, 'southwest': {'lat': 33.5993914, 'lng': -117.8687519}}, 'location': {'lat': 33.6845673, 'lng': -117.8265049}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 33.7736521, 'lng': -117.6780258}, 'southwest': {'lat': 33.5993914, 'lng': -117.8687519}}}",Irvine,Orange County,California,United States,,https://city-of-irvine-open-data-portal-cityofirvine.hub.arcgis.com/data.json,"['@type', 'identifier', 'landingPage', 'title', 'description', 'keyword', 'issued', 'modified', 'publisher', 'contactPoint', 'accessLevel', 'spatial', 'license', 'distribution', 'theme']",14.0,15.0
https://data.cityoforlando.net/data.json,"Orlando, FL",City,True,"Orlando, FL, USA","{'bounds': {'northeast': {'lat': 28.6142797, 'lng': -81.17779999999999}, 'southwest': {'lat': 28.3480667, 'lng': -81.5075304}}, 'location': {'lat': 28.5383832, 'lng': -81.3789269}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 28.6142797, 'lng': -81.17779999999999}, 'southwest': {'lat': 28.3480667, 'lng': -81.5075304}}}",Orlando,Orange County,Florida,United States,,https://data.cityoforlando.net/data.json,"['accessLevel', 'landingPage', 'issued', '@type', 'modified', 'contactPoint', 'identifier', 'publisher', 'description', 'title', 'distribution']",32.0,11.0
https://gis-santa-ana.opendata.arcgis.com/data.json,"Santa Ana, CA",City,True,"Santa Ana, CA, USA","{'bounds': {'northeast': {'lat': 33.7840132, 'lng': -117.8303496}, 'southwest': {'lat': 33.691654, 'lng': -117.9439458}}, 'location': {'lat': 33.7454725, 'lng': -117.867653}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 33.7840132, 'lng': -117.8303496}, 'southwest': {'lat': 33.691654, 'lng': -117.9439458}}}",Santa Ana,Orange County,California,United States,,https://gis-santa-ana.opendata.arcgis.com/data.json,"['@type', 'identifier', 'landingPage', 'title', 'description', 'keyword', 'issued', 'modified', 'publisher', 'contactPoint', 'accessLevel', 'spatial', 'license', 'distribution', 'theme']",43.0,15.0
https://gis-corpus.opendata.arcgis.com/,"Corpus Christi, TX",City,False,"Corpus Christi, TX, USA","{'bounds': {'northeast': {'lat': 27.916473, 'lng': -96.96115089999999}, 'southwest': {'lat': 27.483569, 'lng': -97.750558}}, 'location': {'lat': 27.8005828, 'lng': -97.39638099999999}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 27.916473, 'lng': -96.96115089999999}, 'southwest': {'lat': 27.483569, 'lng': -97.750558}}}",Corpus Christi,Nueces County,Texas,United States,,,,,
https://data-auroraco.opendata.arcgis.com/data.json,"Aurora, CO",City,True,"Aurora, CO, USA","{'bounds': {'northeast': {'lat': 39.826671, 'lng': -104.4889061}, 'southwest': {'lat': 39.550999, 'lng': -104.884761}}, 'location': {'lat': 39.7294319, 'lng': -104.8319195}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 39.826671, 'lng': -104.4889061}, 'southwest': {'lat': 39.550999, 'lng': -104.884761}}}",Aurora,Arapahoe County,Colorado,United States,,https://data-auroraco.opendata.arcgis.com/data.json,"['@type', 'identifier', 'landingPage', 'title', 'description', 'keyword', 'issued', 'modified', 'publisher', 'contactPoint', 'accessLevel', 'spatial', 'license', 'distribution', 'theme']",92.0,15.0
https://data-cityofwichita.hub.arcgis.com/data.json,"Wichita, KS",City,True,"Wichita, KS, USA","{'bounds': {'northeast': {'lat': 37.8401999, 'lng': -97.1529185}, 'southwest': {'lat': 37.489018, 'lng': -97.7343619}}, 'location': {'lat': 37.68717609999999, 'lng': -97.33005299999999}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 37.8401999, 'lng': -97.1529185}, 'southwest': {'lat': 37.489018, 'lng': -97.7343619}}}",Wichita,Sedgwick County,Kansas,United States,,https://data-cityofwichita.hub.arcgis.com/data.json,"['@type', 'identifier', 'landingPage', 'title', 'description', 'keyword', 'issued', 'modified', 'publisher', 'contactPoint', 'accessLevel', 'spatial', 'license', 'distribution', 'theme']",170.0,15.0
https://cob.maps.arcgis.com/home/index.html,"Bakersfield, CA",City,False,"Bakersfield, CA, USA","{'bounds': {'northeast': {'lat': 35.4479751, 'lng': -118.7723409}, 'southwest': {'lat': 35.193979, 'lng': -119.265033}}, 'location': {'lat': 35.3732921, 'lng': -119.0187125}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 35.4479751, 'lng': -118.7723409}, 'southwest': {'lat': 35.193979, 'lng': -119.265033}}}",Bakersfield,Kern County,California,United States,,,,,
